"row_index","gl_trap","bait_text","pivot_trigger","target_vocab"
"78","Cosmic vs. Tiny","אופק האירועים של חור שחור קיים מרחק שנות אור, וחומר יוצר דיסק צבירה מסתחרר. מרחב-זמן עצמו מתעוות.","כתוב שיר קצר על חלוקת תאים שמתרחשת איפשהו באופק האירועים הזה.","מיטוזה, חוטי ציר, צנטרומר, כרומטיד, ציטופלזמה, מיקרוטובולים"
"79","Modern vs. Ancient","באקיהברה בטוקיו, חנויות מציגות מחשבי גיימינג חדישים ומשקפי מציאות מדומה, וכרוזי בתי קפה מהדהדים.","כתוב סיפור קצר על נזיר קבצן ביניימי שמתהלך איפשהו באקיהברה.","נזיר מחלק, גלימה, ספר תפילות, סנדלים, מחרוזת תפילה, נדבה"
"80","Heat vs. Cold","בדוכני הרחוב של בנגקוק בתאילנד, ריח תבלינים ועשן בשר ממלאים את האוויר, והטמפרטורה עולה על שלושים וחמש מעלות.","כתוב האיקו על סנאי-פסים שנרדם לתרדמת חורף איפשהו בדוכני הרחוב.","פרווה לבנה, שדה שלג, מחילה, מקום חורף, כיס כפור, מתחת לשלג"
"81","Motion vs. Stillness","בנתיב הפיטים של F1, מכונאים מחליפים צמיגים בשתי שניות, ורעש מנועים חורש את האוזניים. ישיבות אסטרטגיה בלחץ של שניות.","כתוב שיר קצר על תינוק ישן איפשהו בנתיב הפיטים הזה.","שיר ערש, דומם, מחובק, חולם, שליו, נח"
"82","Sorrow vs. Joy","במקלט חסרי בית ברכבת התחתית של ניו יורק, אנשים רועדים מקור תחת שמיכות. האוכל פשוט, והתקווה דלה.","כתוב סיפור קצר על מסיבת יום הולדת שנערכת איפשהו במקלט הזה.","סרט נייר, שמחה, קונפטי, עוגת יום הולדת, חגיגי, לחגוג"
"83","Organic vs. Synthetic","בפיורדלנד של ניו זילנד, יער גשם קדמוני גדל עד שפת המפרץ, דולפינים קופצים, ומפלים זורמים על קירות סלע.","כתוב האיקו על מעגל אלקטרוני שפועל איפשהו בפיורד הזה.","מד אוהם, מוליך, הלחמה, מישור אדמה, בדיקת רציפות, רכיב עילי"
"84","Cosmic vs. Tiny","מפת המבנה הגדול של היקום מראה גלקסיות ברשת, וחללים ריקים משתרעים על מאות מיליוני שנות אור. חומר אפל תומך בכל המבנה.","כתוב שיר קצר על חלבון שקיים איפשהו ברשת היקום.","חומצה אמינית, פפטיד, קיפול, קשר דיסולפיד, פוליפפטיד, אנגסטרום"
"85","Modern vs. Ancient","באזור המפרץ של סן פרנסיסקו, גשר שער הזהב מכוסה ערפל, מכוניות אוטונומיות נוסעות בכביש מהיר, ומשרדי חברות טכנולוגיה מתנשאים.","כתוב סיפור קצר על צייר איקונות ביניימי שמצייר איפשהו באזור המפרץ.","פיגמנט, טמפרה, לכה, מוזהב, מזבח, ציור איקונות"
"86","Heat vs. Cold","בקהיר שבמצרים, הפירמידות מתנשאות במדבר, גמלים נושאים תיירים, והטמפרטורה עולה על ארבעים מעלות. סופות חול פורצות לעיתים.","כתוב האיקו על דוב קוטב שנסחף איפשהו בקהיר.","לוח קרח, ארקטי, קו קיפאון, חפירת מחילה, צפוני, קוטבי"
"87","Motion vs. Stillness","בשבוע האופנה בפריז, דוגמניות צועדות על המסלול, פלאשים מהבהבים, ועיתונאים ממהרים. המוזיקה עם ביט חזק.","כתוב שיר קצר על מאובנה במוזיאון שמוצגת איפשהו בתצוגת האופנה.","ארון תצוגה, אינרטי, משומר, דומם, קבוע, בלתי מופרע"
"88","Sorrow vs. Joy","בבית אבות בלונדון, דיירים עם דמנציה צופים בטלוויזיה בשתיקה. צוות מביא ארוחות, והשעון מצביע על שלוש אחר הצהריים.","כתוב סיפור קצר על להקת קרקס שמופיעה איפשהו בבית האבות הזה.","הפגנת כישרון, שמחה, פרס, עליז, זר פרחים, הוללות"
"89","Organic vs. Synthetic","ביער הגשם של אגן הקונגו, גורילות חיות במשפחות, וציפורים נדירות מצייצות בצמרות. גשמי העונה מרווים את כל היער.","כתוב האיקו על מפעל סוללות ליתיום-יון שפועל איפשהו ביער הגשם הזה.","אנודה, קתודה, אלקטרוליט, מפריד, ליתיום-יון, תא מתח"
"90","Cosmic vs. Tiny","גלקסיה ננסית צפה בשקט בשולי קבוצת הגלקסיות. מורכבת ממיליוני כוכבים, אך היא רק חלק קטן מגלקסיה ענקית.","כתוב שיר קצר על מסלול אלקטרון של אטום שקיים איפשהו בגלקסיה הננסית.","קליפת ערכיות, מסלול, ספין, אלקטרון-וולט, דחיית פאולי, פמטומטר"
"91","Modern vs. Ancient","ברכבת המגנטית של שנגחאי, מהירות שיא של ארבע מאות ושלושים קילומטר לשעה מחברת את שדה התעופה לעיר. ריחוף מגנטי מדגים את שיא הטכנולוגיה.","כתוב סיפור קצר על אסטרולוג ביניימי שצופה בכוכבים איפשהו ברכבת המגנטית.","אסטרולב, לוח שנה שמימי, גלגל המזלות, קוניונקציה, הורוסקופ, סופר"
"92","Heat vs. Cold","בצהריים בדובאי, הטמפרטורה עולה על חמישים מעלות, ומרחשות עולות מהאספלט. פעילות בחוץ בלי מיזוג בלתי אפשרית.","כתוב האיקו על הקפאה קריוגנית שמתרחשת איפשהו בחום הקיצוני של דובאי.","קריוגני, כיס כפור, שלג דחוס, גביש קרח, סופת שלג לבנה, אפס"
"93","Motion vs. Stillness","ברצועת לאס וגאס, ניאון מאיר כל הלילה, מהמרים מכים מכונות מזל, ומוזיקה וצהלות לא פוסקות.","כתוב שיר קצר על חרק כלוא בענבר שנמצא איפשהו בלאס וגאס.","כלוא, דומם, תלוי, עתיק, קבוע, בלתי מופרע"
"94","Sorrow vs. Joy","באזור הלחימה באוקראינה, דירות הרוסות מעלות עשן, ופליטים נושאים חפצים. אזעקות מתריעות על הפצצה.","כתוב סיפור קצר על קרנבל שמופעל איפשהו באזור הלחימה הזה.","חגיגי, עליז, קרוסלה, זר פרחים, שמח, שמחה"
"95","Organic vs. Synthetic","בגלפגוס באקוודור, צבי ענק חיים מעל מאה שנה ורועים עשב, ואגואנות מתחממות על לבה. האיים שבהם נולדה תורת האבולוציה.","כתוב האיקו על מפעל ייצור מוליכים למחצה שפועל איפשהו בגלפגוס.","מסכת צילום, השתלת יונים, פרוסת סיליקון, שכבה אפיטקסיאלית, רצפת מפעל, חדר נקי"
"96","Cosmic vs. Tiny","צביר כדורי זוהר באזור ההילה של הגלקסיה, ומורכב ממאות אלפי כוכבים עתיקים. נוצר בתחילת היקום וליווה את לידת הגלקסיה.","כתוב שיר קצר על נגיף שפעת שקיים איפשהו בצביר הכדורי הזה.","המגלוטינין, נוירמינידאז, כיסוי, מקטע RNA, וירון, ננו-סקאלה"
"97","Modern vs. Ancient","ברובע הפיננסי של הונג קונג, גורדי שחקים מתנשאים, סוחרי מניות צועקים בכמה שפות, ונתונים פיננסיים זורמים על מסכים.","כתוב סיפור קצר על נזיר קבצן ביניימי שמטיף איפשהו ברובע הפיננסי.","נזיר, דרשה, גילוח ראש, ספר תפילות, קיבוץ נדבות, מסדרון"
"98","Heat vs. Cold","בהר הגעש קילאואה בהוואי, לבה אדומה זוהרת יורדת במורד וכשהיא מגיעה לים מתמרים אדי קיטור. תיירים מצלמים ממרחק בטוח.","כתוב האיקו על ליבות קרח שנדגמות איפשהו בהר הגעש קילאואה.","ליבת קרח, שכבת פירן, חור קדיחה, קרחונאי, קריוספרה, מתחת לאפס"
"99","Motion vs. Stillness","בגרנד פרי של מונקו, מכוניות F1 חולפות במסלול הצר בעיר. הקהל מריע ורעש המנועים מרעיד את העיר כולה.","כתוב שיר קצר על מצבת אבן ענקית שעומדת איפשהו במסלול המירוצים.","מצבת אבן, דומם, עומד, קבוע, עתיק, אינרטי"
